,Training Time (s)
ExtraTrees,0.6777195930480957
XGBoost,0.8133711814880371
RandomForest,0.886052131652832
SVM_RBF,1.573918104171753
LightGBM,2.0964467525482178
CatBoost,24.472150087356567
